,Biochemical,Feature importance,super.pathway,sub.pathway
316,6-oxopiperidine-2-carboxylate,0.09080407386987524,Amino Acid,Lysine Metabolism
317,methionine,0.09070707551914707,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
318,3-methoxytyramine sulfate,0.0906832839188944,Amino Acid,Tyrosine Metabolism
319,2-docosahexaenoyl-GPC (22:6)*,0.08950053568787494,Lipid,Lysophospholipid
320,caprylate (8:0),0.08880105147613564,Lipid,Medium Chain Fatty Acid
321,stearoyl sphingomyelin (d18:1/18:0),0.08804882571481823,Lipid,Sphingolipid Metabolism
322,fructose,0.08753970351686273,Carbohydrate,"Fructose, Mannose and Galactose Metabolism"
323,3-hydroxyoctanoate,0.08735941790264788,Lipid,"Fatty Acid, Monohydroxy"
324,2-aminophenol sulfate,0.08732338064983078,Xenobiotics,Chemical
325,"bilirubin (E,E)*",0.08696237000867356,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism
326,homocitrulline,0.08695351047714067,Amino Acid,Urea cycle; Arginine and Proline Metabolism
327,alanylleucine,0.08678068505826833,Peptide,Dipeptide
328,N-acetylhistidine,0.08671948756239997,Amino Acid,Histidine Metabolism
329,cysteine-glutathione disulfide,0.08671646851448063,Amino Acid,Glutathione Metabolism
330,"androstenediol (3beta,17beta) disulfate (2)",0.08614041932160621,Lipid,Androgenic Steroids
331,androsterone sulfate,0.08575081301549367,Lipid,Androgenic Steroids
332,glycolithocholate sulfate*,0.08539284209103562,Lipid,Secondary Bile Acid Metabolism
333,1-dihomo-linoleoyl-GPC (20:2)*,0.08462779546051431,Lipid,Lysophospholipid
334,dimethyl sulfone,0.08453585257139855,Xenobiotics,Chemical
335,N4-acetylcytidine,0.08447034346441631,Nucleotide,"Pyrimidine Metabolism, Cytidine containing"
336,5alpha-pregnan-diol disulfate,0.0840810508772629,Lipid,Progestin Steroids
337,1-arachidonoyl-GPC (20:4n6)*,0.08396793146151592,Lipid,Lysophospholipid
338,phenylalanylphenylalanine,0.08255840512140944,Peptide,Dipeptide
339,salicylate,0.08240615612254594,Xenobiotics,Drug - Topical Agents
340,"linoleate, methyl ester",0.08216786368499578,Lipid,"Fatty Acid, Methyl Ester"
341,adenosine,0.08208014987682279,Nucleotide,"Purine Metabolism, Adenine containing"
342,benzoylcarnitine*,0.08109572222661306,Xenobiotics,Chemical
343,indoleacetate,0.08068470494242473,Amino Acid,Tryptophan Metabolism
344,1-stearoyl-GPI (18:0),0.08030886482674715,Lipid,Lysophospholipid
345,xanthine,0.08022852496304421,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
346,citrulline,0.08017218402910756,Amino Acid,Urea cycle; Arginine and Proline Metabolism
347,hexanoylglutamine,0.08004551132846552,Lipid,Fatty Acid Metabolism (Acyl Glutamine)
348,creatine,0.0797894008179215,Amino Acid,Creatine Metabolism
349,taurocholate,0.07972246168339417,Lipid,Primary Bile Acid Metabolism
350,7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),0.07926720874072322,Lipid,Sterol
351,6-hydroxyindole sulfate,0.07906235651352027,Xenobiotics,Chemical
352,stachydrine,0.07901031838644869,Xenobiotics,Food Component/Plant
353,N-acetylleucine,0.07869589721324023,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
354,glycine,0.0781591497819072,Amino Acid,"Glycine, Serine and Threonine Metabolism"
355,xanthosine,0.07813498738324695,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
356,3-(4-hydroxyphenyl)lactate,0.07803982008963778,Amino Acid,Tyrosine Metabolism
357,"androstenediol (3beta,17beta) monosulfate (2)",0.07611909151216661,Lipid,Androgenic Steroids
358,pseudouridine,0.07549721643769751,Nucleotide,"Pyrimidine Metabolism, Uracil containing"
359,S-adenosylhomocysteine (SAH),0.07548088332051038,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
360,dehydroisoandrosterone sulfate (DHEA-S),0.0752773605859772,Lipid,Androgenic Steroids
361,lactate,0.07514852874782738,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
362,4-vinylphenol sulfate,0.07444406448075032,Xenobiotics,Benzoate Metabolism
363,1-carboxyethylvaline,0.07405723689728731,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
364,riboflavin (Vitamin B2),0.07372287042363751,Cofactors and Vitamins,Riboflavin Metabolism
365,indoleacetylglutamine,0.07352424132387987,Amino Acid,Tryptophan Metabolism
366,2-hydroxyacetaminophen sulfate*,0.07325686189605123,Xenobiotics,"Drug - Analgesics, Anesthetics"
367,cystine,0.0731945024381322,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
368,adenosine 5'-monophosphate (AMP),0.07285156872448424,Nucleotide,"Purine Metabolism, Adenine containing"
369,3-hydroxypyridine sulfate,0.07281483789090784,Xenobiotics,Chemical
370,2-hydroxypalmitate,0.07277789901487726,Lipid,"Fatty Acid, Monohydroxy"
371,gamma-glutamylmethionine,0.07246896483695695,Peptide,Gamma-glutamyl Amino Acid
372,dopamine 4-sulfate,0.07129804533019861,Amino Acid,Tyrosine Metabolism
373,alpha-tocopherol,0.07123511394237284,Cofactors and Vitamins,Tocopherol Metabolism
374,thyroxine,0.07122645641892164,Amino Acid,Tyrosine Metabolism
375,4-acetylphenol sulfate,0.07110976824989948,Xenobiotics,Benzoate Metabolism
376,caprate (10:0),0.07035433674267352,Lipid,Medium Chain Fatty Acid
377,xylonate,0.06991988727932079,Carbohydrate,Pentose Metabolism
378,laurate (12:0),0.06890105610537275,Lipid,Medium Chain Fatty Acid
379,3-indoxyl sulfate,0.0688631675548062,Amino Acid,Tryptophan Metabolism
380,arabonate,0.0688443081376496,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism
381,valine,0.06881690528052503,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
382,acetylcarnitine (C2),0.06800132009970172,Lipid,Fatty Acid Metabolism (Acyl Carnitine)
383,"1,2,3-benzenetriol sulfate (2)",0.06766599501492737,Xenobiotics,Chemical
384,taurodeoxycholate,0.06706276922345611,Lipid,Secondary Bile Acid Metabolism
385,4-methyl-2-oxopentanoate,0.06639454189114502,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
386,2-hydroxyoctanoate,0.06604723631577775,Lipid,"Fatty Acid, Monohydroxy"
387,3-phenylpropionate (hydrocinnamate),0.06594584394460637,Xenobiotics,Benzoate Metabolism
388,N-acetylalanine,0.06553272023992232,Amino Acid,Alanine and Aspartate Metabolism
389,13-HODE + 9-HODE,0.06531586849746153,Lipid,"Fatty Acid, Monohydroxy"
390,4-acetamidobutanoate,0.06454775868691341,Amino Acid,Polyamine Metabolism
391,4-acetamidophenol,0.06433306584173545,Xenobiotics,"Drug - Analgesics, Anesthetics"
392,isoleucylvaline,0.06408289086611371,Peptide,Dipeptide
393,gamma-CEHC glucuronide*,0.06399270093497511,Cofactors and Vitamins,Tocopherol Metabolism
394,myristoleoylcarnitine*,0.06319691908987403,Lipid,Fatty Acid Metabolism (Acyl Carnitine)
395,N-acetylthreonine,0.06291619490601301,Amino Acid,"Glycine, Serine and Threonine Metabolism"
396,pregnenolone sulfate,0.06274745504173665,Lipid,Pregnenolone Steroids
397,cyclo(pro-pro),0.06226687916225913,Peptide,Dipeptide
398,"5,6-dihydrothymine",0.062159334154516674,Nucleotide,"Pyrimidine Metabolism, Thymine containing"
399,urate,0.061681944599842886,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
400,1-nonadecanoyl-GPC (19:0),0.0608605808369548,Lipid,Lysophospholipid
401,nonadecanoate (19:0),0.06037587315659995,Lipid,Long Chain Fatty Acid
402,N6-acetyllysine,0.059309448382686286,Amino Acid,Lysine Metabolism
403,5-oxoproline,0.05928779485377603,Amino Acid,Glutathione Metabolism
404,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,0.05850723283261475,Lipid,Lysoplasmalogen
405,"Fibrinopeptide A, des-ala(1)*",0.058502269385500474,Peptide,Fibrinogen Cleavage Peptide
406,3-hydroxybutyrylcarnitine (1),0.057702872103374166,Lipid,Fatty Acid Metabolism (Acyl Carnitine)
407,caffeine,0.05739954992401945,Xenobiotics,Xanthine Metabolism
408,2-hydroxy-3-methylvalerate,0.05714134685212004,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
409,glutaminylleucine,0.05686909734755938,Peptide,Dipeptide
410,theophylline,0.056664019833763485,Xenobiotics,Xanthine Metabolism
411,1-palmitoyl-GPI (16:0),0.056406712150361776,Lipid,Lysophospholipid
412,taurochenodeoxycholate,0.056334399065664974,Lipid,Primary Bile Acid Metabolism
413,ribose,0.055757834415828426,Carbohydrate,Pentose Metabolism
414,o-cresol sulfate,0.05566508498085596,Xenobiotics,Benzoate Metabolism
415,cyclo(pro-val),0.055249032793016406,Peptide,Dipeptide
416,2-oleoyl-GPE (18:1)*,0.05518592487329909,Lipid,Lysophospholipid
417,cotinine,0.05510414957158173,Xenobiotics,Tobacco Metabolite
418,aspartylleucine,0.05492200833766135,Peptide,Dipeptide
419,phenylalanine,0.05460412800904857,Amino Acid,Phenylalanine Metabolism
420,docosatrienoate (22:3n3),0.05452808577595876,Lipid,Polyunsaturated Fatty Acid (n3 and n6)
421,3-ureidopropionate,0.05448474524928867,Nucleotide,"Pyrimidine Metabolism, Uracil containing"
422,N-acetylisoleucine,0.05417522468532328,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
423,oleoyl ethanolamide,0.05393382382464868,Lipid,Endocannabinoid
424,"N2,N2-dimethylguanosine",0.052768144248455814,Nucleotide,"Purine Metabolism, Guanine containing"
425,1-(1-enyl-oleoyl)-GPE (P-18:1)*,0.05273046542958597,Lipid,Lysoplasmalogen
426,guanosine,0.052567728702094085,Nucleotide,"Purine Metabolism, Guanine containing"
427,hypoxanthine,0.05181525702674791,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
428,N-acetylglutamate,0.05142254092952581,Amino Acid,Glutamate Metabolism
429,3-methyl catechol sulfate (1),0.051221273065088994,Xenobiotics,Benzoate Metabolism
430,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),0.051112015342899234,Lipid,"Fatty Acid, Dicarboxylate"
431,isovalerylcarnitine (C5),0.05096455300687893,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
432,N-palmitoylglycine,0.050571594973637266,Lipid,Fatty Acid Metabolism (Acyl Glycine)
433,methylnaphthyl sulfate (2)*,0.05017083134365063,Xenobiotics,Chemical
434,cis-4-decenoylcarnitine (C10:1),0.050021014299225834,Lipid,Fatty Acid Metabolism (Acyl Carnitine)
435,inosine,0.04896670382352413,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
436,myristoylcarnitine (C14),0.0480358934130742,Lipid,Fatty Acid Metabolism (Acyl Carnitine)
437,alpha-hydroxycaproate,0.04784111260225191,Lipid,"Fatty Acid, Monohydroxy"
438,margarate (17:0),0.04780112783572392,Lipid,Long Chain Fatty Acid
439,alpha-hydroxyisocaproate,0.04777435039321679,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
440,indole-3-carboxylic acid,0.04755442636632789,Amino Acid,Tryptophan Metabolism
441,cholesterol,0.047202742917317096,Lipid,Sterol
442,3-ethylphenylsulfate,0.045988621898415113,Xenobiotics,Benzoate Metabolism
443,malate,0.04580323751045681,Energy,TCA Cycle
444,2-palmitoleoyl-GPC (16:1)*,0.04577460366604959,Lipid,Lysophospholipid
445,1-docosahexaenoyl-GPC (22:6)*,0.04499791397656893,Lipid,Lysophospholipid
446,isobutyrylcarnitine (C4),0.04481090894558516,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
447,gamma-glutamylleucine,0.04476589784499903,Peptide,Gamma-glutamyl Amino Acid
448,21-hydroxypregnenolone disulfate,0.04434784580047421,Lipid,Pregnenolone Steroids
449,17-methylstearate (i19:0),0.044257823233856367,Lipid,"Fatty Acid, Branched"
450,16a-hydroxy DHEA 3-sulfate,0.04414171724926124,Lipid,Androgenic Steroids
451,3-methylhistidine,0.042816354246042514,Amino Acid,Histidine Metabolism
452,2-stearoyl-GPE (18:0)*,0.04259906655606298,Lipid,Lysophospholipid
453,2-ethylphenylsulfate,0.04233751044579445,Xenobiotics,Benzoate Metabolism
454,1-carboxyethylleucine,0.04169160316167279,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
455,glycerate,0.041458132647335916,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
456,docosahexaenoate (DHA; 22:6n3),0.04143611920590996,Lipid,Polyunsaturated Fatty Acid (n3 and n6)
457,theobromine,0.039887167802673665,Xenobiotics,Xanthine Metabolism
458,eicosenoate (20:1),0.039860898229347866,Lipid,Long Chain Fatty Acid
459,p-cresol sulfate,0.03764325559303435,Xenobiotics,Benzoate Metabolism
460,N1-methyladenosine,0.03761642622069792,Nucleotide,"Purine Metabolism, Adenine containing"
461,"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",0.0371271650306322,Lipid,Progestin Steroids
462,nicotinamide,0.036600673745834984,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
463,adrenate (22:4n6),0.03658243737173008,Lipid,Polyunsaturated Fatty Acid (n3 and n6)
464,1-linoleoyl-GPE (18:2)*,0.03655363411036962,Lipid,Lysophospholipid
465,2-hydroxystearate,0.03608165116401079,Lipid,"Fatty Acid, Monohydroxy"
466,3-hydroxydecanoate,0.03591224269798775,Lipid,"Fatty Acid, Monohydroxy"
467,choline,0.03565926228128734,Lipid,Phospholipid Metabolism
468,isoleucine,0.03449517666138878,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
469,1-palmitoyl-GPE (16:0),0.03415281523108036,Lipid,Lysophospholipid
470,pyroglutamine*,0.03396246419731703,Amino Acid,Glutamate Metabolism
471,phenylacetylcarnitine,0.033829671440013184,Peptide,Acetylated Peptides
472,N-acetyl-isoputreanine*,0.033597817200999865,Amino Acid,Polyamine Metabolism
473,catechol sulfate,0.033231746357896275,Xenobiotics,Benzoate Metabolism
474,glycocholate,0.0329017383965485,Lipid,Primary Bile Acid Metabolism
475,gamma-glutamylvaline,0.032500796175021184,Peptide,Gamma-glutamyl Amino Acid
476,N6-carbamoylthreonyladenosine,0.031179621836800026,Nucleotide,"Purine Metabolism, Adenine containing"
477,sphinganine,0.030205818842933125,Lipid,Sphingolipid Metabolism
478,1-carboxyethylisoleucine,0.029801051510567226,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
479,1-myristoyl-GPC (14:0),0.029057896541023507,Lipid,Lysophospholipid
480,1-arachidonoyl-GPI (20:4)*,0.02894107404998719,Lipid,Lysophospholipid
481,stearidonate (18:4n3),0.028203298520406712,Lipid,Polyunsaturated Fatty Acid (n3 and n6)
482,1-linolenoyl-GPC (18:3)*,0.0260681109466667,Lipid,Lysophospholipid
483,epiandrosterone sulfate,0.025589188079153585,Lipid,Androgenic Steroids
484,1-pentadecanoyl-GPC (15:0)*,0.02536563462769021,Lipid,Lysophospholipid
485,2-oleoyl-GPC (18:1),0.025120346089348614,Lipid,Lysophospholipid
486,4-hydroxyphenylpyruvate,0.02428153351494231,Amino Acid,Tyrosine Metabolism
487,"1,7-dimethylurate",0.02398418769057491,Xenobiotics,Xanthine Metabolism
488,serine,0.023451704797112373,Amino Acid,"Glycine, Serine and Threonine Metabolism"
489,2-palmitoyl-GPC (16:0)*,0.023308580482933192,Lipid,Lysophospholipid
490,stearate (18:0),0.02318320025587005,Lipid,Long Chain Fatty Acid
491,dodecadienoate (12:2)*,0.023064542346321455,Lipid,"Fatty Acid, Dicarboxylate"
492,2-linoleoyl-GPC (18:2)*,0.022899490319015774,Lipid,Lysophospholipid
493,10-nonadecenoate (19:1n9),0.022439623706371745,Lipid,Long Chain Fatty Acid
494,1-eicosenoyl-GPC (20:1)*,0.02233269150751713,Lipid,Lysophospholipid
495,decanoylcarnitine (C10),0.02106043254626981,Lipid,Fatty Acid Metabolism (Acyl Carnitine)
496,glycochenodeoxycholate,0.02044785267861883,Lipid,Primary Bile Acid Metabolism
497,1-arachidonoyl-GPE (20:4n6)*,0.020224838287848323,Lipid,Lysophospholipid
498,p-cresol glucuronide*,0.019314778234456945,Amino Acid,Tyrosine Metabolism
499,1-carboxyethylphenylalanine,0.018608007699329084,Amino Acid,Phenylalanine Metabolism
500,1-oleoyl-GPE (18:1),0.017924527027427885,Lipid,Lysophospholipid
501,1-oleoyl-GPC (18:1),0.01755847482315319,Lipid,Lysophospholipid
502,laurylcarnitine (C12),0.013499455781419492,Lipid,Fatty Acid Metabolism (Acyl Carnitine)
503,linoleate (18:2n6),0.012890564526990464,Lipid,Polyunsaturated Fatty Acid (n3 and n6)
504,10-heptadecenoate (17:1n7),0.011832633502464772,Lipid,Long Chain Fatty Acid
505,1-linoleoyl-GPC (18:2),0.010936822175970362,Lipid,Lysophospholipid
506,docosapentaenoate (n3 DPA; 22:5n3),0.00885289118497819,Lipid,Polyunsaturated Fatty Acid (n3 and n6)
507,palmitoylcarnitine (C16),0.008451672856846741,Lipid,Fatty Acid Metabolism (Acyl Carnitine)
508,dihomo-linoleate (20:2n6),0.008022110358922302,Lipid,Polyunsaturated Fatty Acid (n3 and n6)
509,palmitate (16:0),0.005935560530658307,Lipid,Long Chain Fatty Acid
510,5-dodecenoate (12:1n7),0.004741220000110718,Lipid,Medium Chain Fatty Acid
511,palmitoleate (16:1n7),0.004308612303837324,Lipid,Long Chain Fatty Acid
512,octanoylcarnitine (C8),0.0016731332918705193,Lipid,Fatty Acid Metabolism (Acyl Carnitine)
513,myristoleate (14:1n5),0.0014264678984952082,Lipid,Long Chain Fatty Acid
